"employee_id","performance_cycle","goal_score","competency_score","overall_rating","rating_date","manager_rating","calibration_rating","promotion_recommendation"
"BLD-100344","2025 Annual","3.7","4","Exceptional","2025-12-20","Exceptional","Exceptional","Yes"
"BLD-100347","2023 Annual","3.4","2.9","Meets Expectations","2023-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100347","2024 Annual","2.2","1.9","Below Expectations","2024-12-22","Below Expectations","Below Expectations","No"
"BLD-100347","2025 Annual","2.9","3.6","Meets Expectations","2025-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100349","2023 Annual","3.2","3.3","Meets Expectations","2023-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100349","2024 Annual","2.5","2.4","Meets Some Expectations","2024-12-11","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100349","2025 Annual","3.6","3.6","Exceeds Expectations","2025-12-16","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100350","2023 Annual","2.5","2.7","Meets Some Expectations","2023-12-14","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100350","2024 Annual","3.1","2.7","Meets Expectations","2024-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100351","2023 Annual","3.7","3.2","Meets Expectations","2023-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100351","2024 Annual","3.3","3.2","Exceeds Expectations","2024-12-24","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100351","2025 Annual","2.4","3.6","Meets Expectations","2025-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100353","2023 Annual","1.3","2.8","Below Expectations","2023-12-14","Below Expectations","Below Expectations","No"
"BLD-100353","2024 Annual","2.7","2.8","Meets Expectations","2024-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100353","2025 Annual","3.1","2.3","Meets Expectations","2025-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100355","2023 Annual","2.6","2.5","Meets Some Expectations","2023-12-23","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100355","2024 Annual","2.6","3.4","Meets Expectations","2024-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100355","2025 Annual","3.1","3.9","Exceeds Expectations","2025-12-28","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100356","2023 Annual","3.7","3.7","Exceptional","2023-12-12","Exceptional","Exceptional","No"
"BLD-100357","2023 Annual","3.6","2.9","Exceeds Expectations","2023-12-18","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100357","2024 Annual","3.2","3.3","Exceeds Expectations","2024-12-27","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100357","2025 Annual","4","4.4","Exceptional","2025-12-13","Exceptional","Exceptional","No"
"BLD-100358","2023 Annual","3.2","3.1","Meets Expectations","2023-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100358","2024 Annual","3","3","Meets Expectations","2024-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100358","2025 Annual","3.1","2.9","Meets Expectations","2025-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100359","2023 Annual","2.3","3.1","Meets Expectations","2023-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100359","2024 Annual","4.2","3","Exceptional","2024-12-15","Exceptional","Exceptional","Yes"
"BLD-100359","2025 Annual","2.2","2.6","Meets Some Expectations","2025-12-14","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100360","2023 Annual","3.1","2.8","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100361","2023 Annual","4.6","3.9","Exceeds Expectations","2023-12-25","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100361","2024 Annual","3.5","4.3","Exceptional","2024-12-23","Meets Expectations","Exceptional","No"
"BLD-100361","2025 Annual","4","3.4","Exceptional","2025-12-27","Exceptional","Exceptional","Yes"
"BLD-100362","2023 Annual","2.9","2.9","Meets Expectations","2023-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100362","2024 Annual","3.2","3.3","Meets Expectations","2024-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100362","2025 Annual","1.7","1.9","Below Expectations","2025-12-15","Below Expectations","Below Expectations","No"
"BLD-100363","2023 Annual","2.6","2.6","Meets Some Expectations","2023-12-10","Exceeds Expectations","Meets Some Expectations","No"
"BLD-100363","2024 Annual","3","3.6","Meets Expectations","2024-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100363","2025 Annual","3.1","2.7","Meets Expectations","2025-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100364","2023 Annual","3.4","3.4","Exceeds Expectations","2023-12-20","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100365","2023 Annual","2.8","2.4","Meets Expectations","2023-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100366","2023 Annual","4.1","2.9","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100366","2024 Annual","3.5","2.9","Meets Expectations","2024-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100367","2023 Annual","3.3","2.9","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100368","2023 Annual","3.9","3.3","Exceptional","2023-12-21","Exceptional","Exceptional","Yes"
"BLD-100369","2023 Annual","3.3","3.1","Meets Expectations","2023-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100369","2024 Annual","3.4","3.2","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100369","2025 Annual","2.8","2.5","Meets Expectations","2025-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100370","2023 Annual","2.6","2.6","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100370","2024 Annual","2.2","3.2","Meets Expectations","2024-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100370","2025 Annual","3.2","2.1","Meets Some Expectations","2025-12-13","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100371","2023 Annual","2.7","2","Below Expectations","2023-12-16","Below Expectations","Below Expectations","No"
"BLD-100372","2023 Annual","3.8","2.8","Exceeds Expectations","2023-12-23","Below Expectations","Exceeds Expectations","No"
"BLD-100373","2023 Annual","3.8","3.4","Exceeds Expectations","2023-12-19","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100373","2024 Annual","3.4","1.9","Meets Expectations","2024-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100373","2025 Annual","3","3.2","Meets Expectations","2025-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100374","2023 Annual","2.9","3.5","Meets Expectations","2023-12-25","Exceeds Expectations","Meets Expectations","No"
"BLD-100374","2024 Annual","3.6","2.9","Meets Expectations","2024-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100375","2023 Annual","2.9","2.9","Meets Expectations","2023-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100375","2024 Annual","3.1","3.1","Meets Expectations","2024-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100375","2025 Annual","2.9","2.7","Meets Expectations","2025-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100376","2023 Annual","3.2","2.9","Meets Expectations","2023-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100377","2023 Annual","3.1","3.7","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100377","2024 Annual","3","4.1","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100377","2025 Annual","2.7","2.5","Meets Expectations","2025-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100378","2023 Annual","2.8","2.9","Exceeds Expectations","2023-12-16","Meets Expectations","Exceeds Expectations","No"
"BLD-100378","2024 Annual","3.5","4.5","Exceptional","2024-12-28","Exceptional","Exceptional","No"
"BLD-100380","2023 Annual","4.7","3.9","Exceptional","2023-12-12","Exceptional","Exceptional","Yes"
"BLD-100380","2024 Annual","2.5","2.5","Meets Expectations","2024-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100380","2025 Annual","2.1","2.7","Meets Some Expectations","2025-12-28","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100382","2023 Annual","3.1","3.5","Meets Expectations","2023-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100382","2024 Annual","2.1","2.4","Meets Some Expectations","2024-12-21","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100382","2025 Annual","2.4","2.1","Meets Expectations","2025-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100383","2023 Annual","2.4","2.5","Meets Expectations","2023-12-20","Exceptional","Meets Expectations","No"
"BLD-100383","2024 Annual","2.8","2","Meets Some Expectations","2024-12-18","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100383","2025 Annual","3.5","2","Meets Some Expectations","2025-12-22","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100384","2023 Annual","3.5","4","Meets Expectations","2023-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100385","2023 Annual","2.1","2.9","Meets Expectations","2023-12-14","Meets Expectations","Meets Expectations","No"
"BLD-100386","2023 Annual","3.2","3.1","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100386","2024 Annual","3.3","3","Meets Expectations","2024-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100386","2025 Annual","2.9","3.1","Exceeds Expectations","2025-12-11","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100387","2023 Annual","3.9","3.6","Exceeds Expectations","2023-12-22","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100388","2023 Annual","3.6","3","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100388","2024 Annual","2.6","2.9","Meets Some Expectations","2024-12-10","Meets Expectations","Meets Some Expectations","No"
"BLD-100388","2025 Annual","3","3","Meets Expectations","2025-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100390","2023 Annual","2.8","3","Meets Expectations","2023-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100390","2024 Annual","2.7","2.7","Meets Expectations","2024-12-28","Exceeds Expectations","Meets Expectations","No"
"BLD-100390","2025 Annual","2.8","2.9","Meets Expectations","2025-12-24","Exceptional","Meets Expectations","No"
"BLD-100391","2023 Annual","2.1","2","Meets Some Expectations","2023-12-23","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100391","2024 Annual","3.7","2.7","Meets Expectations","2024-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100391","2025 Annual","3.3","3.3","Meets Expectations","2025-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100392","2023 Annual","2.9","2.5","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100392","2024 Annual","3.2","3.5","Meets Expectations","2024-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100392","2025 Annual","2.6","2.9","Meets Expectations","2025-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100393","2023 Annual","3.4","2.9","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100394","2023 Annual","3.4","3.1","Meets Expectations","2023-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100394","2024 Annual","3.4","3.6","Exceeds Expectations","2024-12-23","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100394","2025 Annual","3.6","3.7","Exceeds Expectations","2025-12-19","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100395","2023 Annual","3.4","2.9","Meets Expectations","2023-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100395","2024 Annual","3.6","2.9","Exceeds Expectations","2024-12-23","Meets Expectations","Exceeds Expectations","No"
"BLD-100395","2025 Annual","3.4","3.5","Exceeds Expectations","2025-12-28","Meets Some Expectations","Exceeds Expectations","No"
"BLD-100397","2023 Annual","2.7","3.1","Meets Expectations","2023-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100398","2023 Annual","2.9","3","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100398","2024 Annual","2.4","2.6","Meets Expectations","2024-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100398","2025 Annual","2.9","3","Meets Expectations","2025-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100399","2023 Annual","3.2","2.8","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100399","2024 Annual","2.8","3.3","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100399","2025 Annual","3","3.1","Meets Expectations","2025-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100400","2023 Annual","3.1","3.2","Meets Expectations","2023-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100400","2024 Annual","2.1","2.9","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100400","2025 Annual","2.5","2.7","Meets Expectations","2025-12-20","Meets Expectations","Meets Expectations","No"
"BLD-100401","2023 Annual","3.3","3.8","Exceeds Expectations","2023-12-13","Meets Expectations","Exceeds Expectations","No"
"BLD-100401","2024 Annual","2.2","1.9","Meets Some Expectations","2024-12-23","Exceeds Expectations","Meets Some Expectations","No"
"BLD-100401","2025 Annual","2.5","2.3","Meets Some Expectations","2025-12-14","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100402","2023 Annual","3.7","3.7","Exceeds Expectations","2023-12-11","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100402","2024 Annual","2.6","2.3","Meets Some Expectations","2024-12-22","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100402","2025 Annual","2.5","3.9","Exceeds Expectations","2025-12-13","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100403","2023 Annual","3.2","2.7","Meets Expectations","2023-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100403","2024 Annual","3.5","3.4","Meets Expectations","2024-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100403","2025 Annual","2.7","3.3","Meets Expectations","2025-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100404","2023 Annual","2.4","2.1","Below Expectations","2023-12-13","Below Expectations","Below Expectations","No"
"BLD-100404","2024 Annual","3.9","3.1","Exceeds Expectations","2024-12-24","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100404","2025 Annual","2.6","2.3","Below Expectations","2025-12-28","Below Expectations","Below Expectations","No"
"BLD-100407","2023 Annual","2.9","4.4","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100407","2024 Annual","2.8","3.4","Exceeds Expectations","2024-12-24","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100407","2025 Annual","3.3","4","Exceeds Expectations","2025-12-12","Meets Expectations","Exceeds Expectations","Yes"
"BLD-100408","2023 Annual","3.5","3.4","Meets Expectations","2023-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100408","2024 Annual","2.5","3.2","Meets Expectations","2024-12-18","Exceeds Expectations","Meets Expectations","No"
"BLD-100408","2025 Annual","3.1","3.4","Exceeds Expectations","2025-12-15","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100409","2023 Annual","3.5","3.1","Exceeds Expectations","2023-12-19","Meets Expectations","Exceeds Expectations","Yes"
"BLD-100409","2024 Annual","3.2","3.9","Exceeds Expectations","2024-12-17","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100409","2025 Annual","3","3.2","Meets Expectations","2025-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100410","2023 Annual","3.8","3.4","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100411","2023 Annual","2.1","3.1","Meets Some Expectations","2023-12-13","Meets Expectations","Meets Some Expectations","No"
"BLD-100411","2024 Annual","3.1","2.7","Meets Expectations","2024-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100411","2025 Annual","3.8","3.6","Meets Expectations","2025-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100412","2023 Annual","3.4","2.9","Meets Expectations","2023-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100413","2023 Annual","3.2","2.9","Meets Expectations","2023-12-18","Below Expectations","Meets Expectations","No"
"BLD-100413","2024 Annual","4.2","4.5","Exceptional","2024-12-21","Exceptional","Exceptional","No"
"BLD-100413","2025 Annual","4.3","2.5","Meets Expectations","2025-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100415","2023 Annual","3.3","2.3","Meets Some Expectations","2023-12-20","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100415","2024 Annual","3.6","4.4","Exceptional","2024-12-28","Meets Some Expectations","Exceptional","Yes"
"BLD-100415","2025 Annual","3.3","3","Meets Expectations","2025-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100416","2023 Annual","2.7","2.6","Meets Expectations","2023-12-18","Exceeds Expectations","Meets Expectations","No"
"BLD-100416","2024 Annual","3.2","2.7","Meets Expectations","2024-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100416","2025 Annual","2.8","3.2","Meets Expectations","2025-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100417","2023 Annual","2.3","3.4","Meets Expectations","2023-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100418","2023 Annual","3.1","3.4","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100418","2024 Annual","2.7","2.8","Meets Expectations","2024-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100418","2025 Annual","3.5","2.9","Meets Expectations","2025-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100419","2023 Annual","3.2","2.8","Meets Some Expectations","2023-12-21","Below Expectations","Meets Some Expectations","No"
"BLD-100419","2024 Annual","2.8","2.6","Meets Expectations","2024-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100419","2025 Annual","3.3","3.2","Exceeds Expectations","2025-12-25","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100420","2023 Annual","2.9","3.2","Meets Expectations","2023-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100420","2024 Annual","3.5","3","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100420","2025 Annual","3.2","4.1","Exceeds Expectations","2025-12-24","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100421","2023 Annual","2.8","3","Meets Expectations","2023-12-18","Meets Some Expectations","Meets Expectations","No"
"BLD-100421","2024 Annual","3.1","2","Meets Expectations","2024-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100421","2025 Annual","3.6","3.5","Exceeds Expectations","2025-12-14","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100422","2023 Annual","2.8","2.6","Meets Expectations","2023-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100422","2024 Annual","2.4","3","Meets Expectations","2024-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100422","2025 Annual","2.4","2.4","Below Expectations","2025-12-24","Meets Expectations","Below Expectations","No"
"BLD-100423","2023 Annual","3.6","3.4","Meets Expectations","2023-12-20","Meets Expectations","Meets Expectations","No"
"BLD-100423","2024 Annual","3.1","2.8","Meets Expectations","2024-12-20","Exceeds Expectations","Meets Expectations","No"
"BLD-100423","2025 Annual","3","2.8","Meets Expectations","2025-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100425","2023 Annual","1.6","1.3","Below Expectations","2023-12-27","Below Expectations","Below Expectations","No"
"BLD-100426","2023 Annual","2.5","3","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100426","2024 Annual","1.7","2.5","Below Expectations","2024-12-16","Below Expectations","Below Expectations","No"
"BLD-100427","2023 Annual","4.1","3.9","Exceptional","2023-12-16","Exceptional","Exceptional","No"
"BLD-100427","2024 Annual","4.4","4","Exceptional","2024-12-11","Exceptional","Exceptional","No"
"BLD-100428","2023 Annual","2.8","2.5","Meets Expectations","2023-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100428","2024 Annual","2.6","2.8","Exceeds Expectations","2024-12-23","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100428","2025 Annual","3.6","3.6","Exceeds Expectations","2025-12-14","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100429","2023 Annual","2.9","3.2","Meets Expectations","2023-12-10","Meets Some Expectations","Meets Expectations","No"
"BLD-100429","2024 Annual","2.6","2.6","Meets Expectations","2024-12-15","Exceeds Expectations","Meets Expectations","No"
"BLD-100429","2025 Annual","1.8","1.8","Below Expectations","2025-12-10","Below Expectations","Below Expectations","No"
"BLD-100430","2023 Annual","2.7","3.6","Meets Expectations","2023-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100430","2024 Annual","2.8","3.1","Meets Expectations","2024-12-21","Meets Some Expectations","Meets Expectations","No"
"BLD-100430","2025 Annual","3.3","2.7","Meets Expectations","2025-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100431","2023 Annual","3.5","3.1","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100431","2024 Annual","3.8","2.8","Exceeds Expectations","2024-12-26","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100432","2023 Annual","3.1","2.4","Meets Expectations","2023-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100432","2024 Annual","2.3","3.2","Meets Expectations","2024-12-19","Meets Some Expectations","Meets Expectations","No"
"BLD-100432","2025 Annual","3.3","2.8","Meets Expectations","2025-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100434","2023 Annual","2.1","3","Meets Expectations","2023-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100434","2024 Annual","2.6","3.2","Meets Expectations","2024-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100434","2025 Annual","2.7","2.9","Meets Expectations","2025-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100435","2023 Annual","2.2","3.2","Below Expectations","2023-12-10","Below Expectations","Below Expectations","No"
"BLD-100435","2024 Annual","3.6","3.6","Exceeds Expectations","2024-12-15","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100435","2025 Annual","3.4","3.2","Meets Expectations","2025-12-23","Meets Some Expectations","Meets Expectations","No"
"BLD-100436","2023 Annual","3.6","3.1","Exceeds Expectations","2023-12-16","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100436","2024 Annual","2.7","2.7","Meets Some Expectations","2024-12-22","Exceptional","Meets Some Expectations","No"
"BLD-100436","2025 Annual","3.5","3.6","Exceeds Expectations","2025-12-22","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100437","2023 Annual","3.7","2.6","Meets Expectations","2023-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100437","2024 Annual","3.6","3.5","Exceptional","2024-12-14","Exceptional","Exceptional","No"
"BLD-100437","2025 Annual","2.8","2.1","Meets Expectations","2025-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100438","2023 Annual","3.4","2.5","Meets Expectations","2023-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100438","2024 Annual","4.6","4.1","Exceptional","2024-12-25","Exceptional","Exceptional","No"
"BLD-100438","2025 Annual","2.9","3.5","Meets Expectations","2025-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100439","2023 Annual","3.4","3.3","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100439","2024 Annual","2.1","2.7","Meets Some Expectations","2024-12-27","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100439","2025 Annual","3.4","2.5","Meets Expectations","2025-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100440","2023 Annual","3.1","3","Meets Some Expectations","2023-12-22","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100440","2024 Annual","2.4","3","Meets Expectations","2024-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100441","2023 Annual","2.6","3.3","Meets Expectations","2023-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100441","2024 Annual","2.3","2.6","Meets Expectations","2024-12-22","Meets Some Expectations","Meets Expectations","No"
"BLD-100441","2025 Annual","3.5","3.1","Meets Expectations","2025-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100442","2023 Annual","2.7","2.7","Meets Expectations","2023-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100442","2024 Annual","3.2","3.3","Meets Expectations","2024-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100442","2025 Annual","3.4","3.7","Exceeds Expectations","2025-12-26","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100443","2023 Annual","3","1.8","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100443","2024 Annual","2.7","2.6","Meets Some Expectations","2024-12-24","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100444","2023 Annual","3.1","3.2","Meets Expectations","2023-12-28","Exceeds Expectations","Meets Expectations","No"
"BLD-100444","2024 Annual","2","2.8","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100445","2023 Annual","3.5","2.9","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100445","2024 Annual","4.6","3.1","Exceptional","2024-12-26","Exceptional","Exceptional","Yes"
"BLD-100445","2025 Annual","2.6","2.5","Meets Some Expectations","2025-12-15","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100447","2023 Annual","3.8","3.7","Exceeds Expectations","2023-12-26","Meets Expectations","Exceeds Expectations","Yes"
"BLD-100447","2024 Annual","3","3","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100448","2023 Annual","3.1","2.6","Meets Expectations","2023-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100448","2024 Annual","3.5","4.2","Exceeds Expectations","2024-12-16","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100448","2025 Annual","4.2","2.3","Exceeds Expectations","2025-12-13","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100449","2023 Annual","2.5","2.9","Meets Some Expectations","2023-12-10","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100450","2023 Annual","3.3","3.7","Exceeds Expectations","2023-12-21","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100450","2024 Annual","3.1","2.9","Exceeds Expectations","2024-12-21","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100450","2025 Annual","2.6","2.8","Meets Expectations","2025-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100451","2023 Annual","2.9","2.6","Meets Some Expectations","2023-12-28","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100451","2024 Annual","4","3.5","Exceptional","2024-12-11","Exceptional","Exceptional","No"
"BLD-100451","2025 Annual","3.2","2.8","Meets Expectations","2025-12-20","Meets Expectations","Meets Expectations","No"
"BLD-100452","2023 Annual","1.7","2.2","Below Expectations","2023-12-19","Below Expectations","Below Expectations","No"
"BLD-100452","2024 Annual","2.4","2.8","Meets Some Expectations","2024-12-18","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100452","2025 Annual","4.4","4.3","Exceptional","2025-12-23","Exceeds Expectations","Exceptional","Yes"
"BLD-100453","2023 Annual","2.3","2.8","Meets Some Expectations","2023-12-24","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100453","2024 Annual","3.5","3.2","Meets Expectations","2024-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100453","2025 Annual","3.6","3","Meets Expectations","2025-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100454","2023 Annual","2.7","2.7","Meets Expectations","2023-12-11","Exceeds Expectations","Meets Expectations","No"
"BLD-100455","2023 Annual","3.4","3.1","Meets Expectations","2023-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100455","2024 Annual","3","3.1","Meets Expectations","2024-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100455","2025 Annual","3","3.3","Meets Expectations","2025-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100456","2023 Annual","3.1","3.3","Meets Expectations","2023-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100456","2024 Annual","2.7","3.2","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
