"employee_id","gender","nationality","ethnicity","age","age_band","disability_status","grade","management_level","leadership_status"
"BLD-100478","Male","Egyptian","Not Tracked","33","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100480","Female","Egyptian","Not Tracked","41","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100481","Male","Egyptian","Not Tracked","58","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100483","Male","Nepali","Not Tracked","38","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100484","Male","Egyptian","Not Tracked","34","25-34","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100485","Male","Egyptian","Not Tracked","38","35-44","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100488","Male","Indian","Not Tracked","60","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100489","Male","Indian","Not Tracked","49","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100490","Male","Bangladeshi","Not Tracked","46","45-54","Not Disclosed","G10","Managerial","Leadership"
"BLD-100492","Female","Sudanese","Not Tracked","62","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100494","Male","Egyptian","Not Tracked","54","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100496","Female","Pakistani","Not Tracked","55","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100498","Male","Egyptian","Not Tracked","26","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100499","Male","Egyptian","Not Tracked","34","25-34","Not Disclosed","G12","Managerial","Leadership"
"BLD-100500","Male","Indian","Not Tracked","50","45-54","Not Disclosed","G10","Managerial","Leadership"
"BLD-100501","Male","Egyptian","Not Tracked","40","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100504","Female","Bangladeshi","Not Tracked","42","35-44","Not Disclosed","G12","Managerial","Leadership"
"BLD-100505","Male","Jordanian","Not Tracked","36","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100506","Male","Egyptian","Not Tracked","38","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100507","Male","Jordanian","Not Tracked","44","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100508","Male","Egyptian","Not Tracked","29","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100509","Female","Pakistani","Not Tracked","52","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100510","Female","Indian","Not Tracked","62","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100512","Female","Egyptian","Not Tracked","44","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100513","Male","Nepali","Not Tracked","45","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100514","Female","Sri Lankan","Not Tracked","45","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100517","Male","Sri Lankan","Not Tracked","43","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100518","Male","Egyptian","Not Tracked","42","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100519","Female","Egyptian","Not Tracked","33","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100520","Male","Indian","Not Tracked","43","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100525","Female","Sudanese","Not Tracked","25","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100526","Male","Bangladeshi","Not Tracked","45","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100530","Female","Egyptian","Not Tracked","26","25-34","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100534","Female","Egyptian","Not Tracked","38","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100535","Male","Filipino","Not Tracked","59","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100536","Male","Egyptian","Not Tracked","50","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100537","Male","Qatari","Not Tracked","34","25-34","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100538","Female","Nepali","Not Tracked","60","55+","Not Disclosed","G11","Managerial","Leadership"
"BLD-100541","Male","Egyptian","Not Tracked","39","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100545","Male","Qatari","Not Tracked","44","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100546","Female","Indian","Not Tracked","39","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100549","Male","Indian","Not Tracked","51","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100552","Male","Indian","Not Tracked","57","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100554","Male","Egyptian","Not Tracked","51","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100555","Male","Pakistani","Not Tracked","53","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100556","Male","Nepali","Not Tracked","63","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100557","Male","Nepali","Not Tracked","62","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100559","Male","Egyptian","Not Tracked","43","35-44","Not Disclosed","G12","Managerial","Leadership"
"BLD-100562","Male","Indian","Not Tracked","28","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100565","Male","Egyptian","Not Tracked","42","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100569","Female","Pakistani","Not Tracked","64","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100570","Female","Sri Lankan","Not Tracked","40","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100572","Male","Jordanian","Not Tracked","45","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100574","Male","Egyptian","Not Tracked","63","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100575","Male","Pakistani","Not Tracked","57","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100576","Female","Egyptian","Not Tracked","30","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100578","Male","Nepali","Not Tracked","24","<25","Not Disclosed","G12","Managerial","Leadership"
"BLD-100579","Male","Indian","Not Tracked","35","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100580","Female","Nepali","Not Tracked","43","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100581","Male","Nepali","Not Tracked","62","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100583","Male","Egyptian","Not Tracked","37","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100584","Male","Filipino","Not Tracked","40","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100586","Male","Qatari","Not Tracked","40","35-44","Not Disclosed","G11","Managerial","Leadership"
"BLD-100587","Male","Indian","Not Tracked","27","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100589","Male","Filipino","Not Tracked","45","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100590","Female","Qatari","Not Tracked","23","<25","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100591","Male","Pakistani","Not Tracked","41","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100592","Female","Egyptian","Not Tracked","42","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100593","Male","Indian","Not Tracked","58","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100594","Female","Filipino","Not Tracked","50","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100595","Male","Sudanese","Not Tracked","49","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100596","Male","Sri Lankan","Not Tracked","41","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100597","Male","Jordanian","Not Tracked","53","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100598","Male","Indian","Not Tracked","44","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100599","Female","Nepali","Not Tracked","58","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100600","Male","Indian","Not Tracked","43","35-44","Not Disclosed","G12","Managerial","Leadership"
"BLD-100605","Male","Pakistani","Not Tracked","56","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100608","Female","Sri Lankan","Not Tracked","23","<25","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100614","Male","Sudanese","Not Tracked","61","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100615","Female","Indian","Not Tracked","42","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100621","Male","Pakistani","Not Tracked","29","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100622","Male","Nepali","Not Tracked","43","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100623","Male","Jordanian","Not Tracked","29","25-34","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100625","Female","Bangladeshi","Not Tracked","53","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100626","Male","Indian","Not Tracked","69","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100627","Male","Pakistani","Not Tracked","47","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100633","Male","Egyptian","Not Tracked","65","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100634","Female","Jordanian","Not Tracked","45","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100635","Male","Egyptian","Not Tracked","57","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100637","Female","Pakistani","Not Tracked","58","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100638","Female","Egyptian","Not Tracked","64","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100641","Male","Qatari","Not Tracked","50","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100642","Male","Egyptian","Not Tracked","55","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100644","Male","Egyptian","Not Tracked","43","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100646","Female","Pakistani","Not Tracked","41","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100648","Female","Nepali","Not Tracked","59","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100649","Male","Egyptian","Not Tracked","32","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100650","Female","Bangladeshi","Not Tracked","38","35-44","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100654","Male","Bangladeshi","Not Tracked","59","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100655","Female","Indian","Not Tracked","47","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100657","Male","Indian","Not Tracked","58","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100659","Male","Sri Lankan","Not Tracked","26","25-34","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100661","Female","Sudanese","Not Tracked","53","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100664","Female","Qatari","Not Tracked","36","35-44","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100665","Male","Bangladeshi","Not Tracked","56","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100666","Female","Sudanese","Not Tracked","57","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100669","Female","Egyptian","Not Tracked","49","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100670","Male","Egyptian","Not Tracked","47","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100672","Male","Egyptian","Not Tracked","64","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100673","Male","Egyptian","Not Tracked","34","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100674","Male","Egyptian","Not Tracked","52","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100675","Female","Bangladeshi","Not Tracked","56","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100676","Male","Egyptian","Not Tracked","32","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100678","Male","Bangladeshi","Not Tracked","56","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100679","Female","Filipino","Not Tracked","47","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100683","Female","Nepali","Not Tracked","50","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100685","Male","Indian","Not Tracked","55","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100687","Female","Indian","Not Tracked","43","35-44","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100689","Male","Indian","Not Tracked","55","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100690","Male","Egyptian","Not Tracked","57","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100691","Female","Sri Lankan","Not Tracked","64","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100692","Male","Jordanian","Not Tracked","59","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100695","Male","Egyptian","Not Tracked","60","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100697","Female","Filipino","Not Tracked","53","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100701","Female","Indian","Not Tracked","61","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100702","Male","Indian","Not Tracked","54","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100703","Female","Egyptian","Not Tracked","56","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100704","Male","Qatari","Not Tracked","44","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100705","Female","Jordanian","Not Tracked","26","25-34","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100706","Female","Jordanian","Not Tracked","43","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100708","Male","Egyptian","Not Tracked","45","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100709","Male","Nepali","Not Tracked","50","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100710","Male","Indian","Not Tracked","37","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100713","Male","Egyptian","Not Tracked","54","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100714","Male","Egyptian","Not Tracked","36","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100715","Male","Nepali","Not Tracked","28","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100717","Male","Filipino","Not Tracked","55","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100718","Male","Egyptian","Not Tracked","38","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100719","Male","Indian","Not Tracked","30","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100722","Male","Egyptian","Not Tracked","49","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100725","Male","Bangladeshi","Not Tracked","27","25-34","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100726","Male","Pakistani","Not Tracked","40","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100727","Female","Indian","Not Tracked","33","25-34","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100729","Male","Egyptian","Not Tracked","37","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100730","Female","Indian","Not Tracked","44","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100731","Female","Nepali","Not Tracked","30","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100732","Male","Egyptian","Not Tracked","43","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100733","Male","Jordanian","Not Tracked","46","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100734","Male","Indian","Not Tracked","51","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100735","Male","Filipino","Not Tracked","55","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100738","Female","Filipino","Not Tracked","37","35-44","Not Disclosed","G12","Managerial","Leadership"
"BLD-100741","Female","Nepali","Not Tracked","61","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100742","Male","Indian","Not Tracked","28","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100743","Male","Indian","Not Tracked","29","25-34","Not Disclosed","G11","Managerial","Leadership"
"BLD-100744","Male","Nepali","Not Tracked","30","25-34","Not Disclosed","G11","Managerial","Leadership"
"BLD-100745","Female","Indian","Not Tracked","42","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100747","Male","Egyptian","Not Tracked","35","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100749","Male","Egyptian","Not Tracked","45","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100750","Male","Egyptian","Not Tracked","50","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100752","Male","Filipino","Not Tracked","40","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100753","Male","Jordanian","Not Tracked","59","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100754","Female","Egyptian","Not Tracked","58","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100757","Male","Indian","Not Tracked","35","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100758","Male","Indian","Not Tracked","63","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100759","Male","Bangladeshi","Not Tracked","33","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100760","Male","Filipino","Not Tracked","45","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100763","Male","Sudanese","Not Tracked","29","25-34","Not Disclosed","G13","Executive","Leadership"
"BLD-100765","Male","Indian","Not Tracked","45","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100766","Female","Indian","Not Tracked","64","55+","Not Disclosed","G14","Executive","Leadership"
"BLD-100769","Male","Bangladeshi","Not Tracked","68","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100772","Male","Sudanese","Not Tracked","30","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100773","Female","Egyptian","Not Tracked","37","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100774","Male","Nepali","Not Tracked","60","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100776","Female","Qatari","Not Tracked","52","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100777","Male","Sudanese","Not Tracked","31","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100779","Male","Egyptian","Not Tracked","49","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100781","Male","Egyptian","Not Tracked","60","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100782","Male","Indian","Not Tracked","30","25-34","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100783","Male","Sri Lankan","Not Tracked","45","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100786","Male","Nepali","Not Tracked","62","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100788","Male","Pakistani","Not Tracked","46","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100789","Male","Egyptian","Not Tracked","31","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100793","Male","Egyptian","Not Tracked","53","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100794","Male","Nepali","Not Tracked","42","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100795","Male","Egyptian","Not Tracked","54","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100797","Male","Indian","Not Tracked","39","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100799","Male","Indian","Not Tracked","33","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100800","Male","Jordanian","Not Tracked","45","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100802","Male","Pakistani","Not Tracked","37","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100804","Male","Indian","Not Tracked","59","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100806","Male","Egyptian","Not Tracked","29","25-34","Not Disclosed","G11","Managerial","Leadership"
"BLD-100809","Female","Jordanian","Not Tracked","39","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100810","Male","Nepali","Not Tracked","61","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100811","Male","Filipino","Not Tracked","34","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100814","Male","Nepali","Not Tracked","49","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100815","Male","Egyptian","Not Tracked","60","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100816","Male","Filipino","Not Tracked","54","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100817","Male","Egyptian","Not Tracked","45","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100820","Male","Egyptian","Not Tracked","32","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100821","Male","Filipino","Not Tracked","40","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100824","Male","Egyptian","Not Tracked","48","45-54","Not Disclosed","G13","Executive","Leadership"
"BLD-100825","Male","Nepali","Not Tracked","24","<25","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100826","Male","Egyptian","Not Tracked","48","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100827","Female","Filipino","Not Tracked","32","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100831","Male","Filipino","Not Tracked","55","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100833","Male","Jordanian","Not Tracked","47","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100834","Male","Bangladeshi","Not Tracked","57","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100835","Male","Egyptian","Not Tracked","36","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100838","Male","Qatari","Not Tracked","54","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100839","Female","Egyptian","Not Tracked","61","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100840","Female","Jordanian","Not Tracked","34","25-34","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100842","Female","Qatari","Not Tracked","32","25-34","Not Disclosed","G12","Managerial","Leadership"
"BLD-100843","Female","Bangladeshi","Not Tracked","31","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100848","Female","Nepali","Not Tracked","33","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100850","Male","Jordanian","Not Tracked","27","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100853","Male","Nepali","Not Tracked","57","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100854","Male","Sri Lankan","Not Tracked","36","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100855","Female","Egyptian","Not Tracked","28","25-34","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100858","Male","Egyptian","Not Tracked","57","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100859","Male","Egyptian","Not Tracked","33","25-34","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100860","Male","Pakistani","Not Tracked","56","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100861","Female","Egyptian","Not Tracked","36","35-44","Not Disclosed","G13","Executive","Leadership"
"BLD-100862","Male","Qatari","Not Tracked","36","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100863","Male","Indian","Not Tracked","30","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100864","Male","Jordanian","Not Tracked","46","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100867","Male","Pakistani","Not Tracked","38","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100868","Male","Egyptian","Not Tracked","36","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100869","Male","Filipino","Not Tracked","53","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100870","Male","Indian","Not Tracked","23","<25","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100873","Female","Egyptian","Not Tracked","64","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100874","Male","Pakistani","Not Tracked","56","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100875","Female","Egyptian","Not Tracked","55","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100877","Male","Egyptian","Not Tracked","55","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100878","Female","Jordanian","Not Tracked","36","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100880","Male","Sudanese","Not Tracked","50","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100882","Female","Sudanese","Not Tracked","37","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100883","Male","Sri Lankan","Not Tracked","43","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100884","Male","Nepali","Not Tracked","46","45-54","Not Disclosed","G14","Executive","Leadership"
"BLD-100885","Male","Pakistani","Not Tracked","30","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100886","Male","Egyptian","Not Tracked","58","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100887","Male","Indian","Not Tracked","56","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100889","Female","Egyptian","Not Tracked","47","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100891","Male","Sri Lankan","Not Tracked","53","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100892","Male","Nepali","Not Tracked","28","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100893","Female","Egyptian","Not Tracked","60","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100895","Female","Egyptian","Not Tracked","56","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100896","Female","Filipino","Not Tracked","50","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100897","Female","Sri Lankan","Not Tracked","59","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100898","Female","Egyptian","Not Tracked","37","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100902","Female","Jordanian","Not Tracked","33","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100904","Female","Indian","Not Tracked","36","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100905","Male","Filipino","Not Tracked","54","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100906","Male","Indian","Not Tracked","58","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100908","Female","Sri Lankan","Not Tracked","47","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100910","Male","Pakistani","Not Tracked","39","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100911","Male","Indian","Not Tracked","48","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100912","Male","Indian","Not Tracked","60","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100914","Male","Nepali","Not Tracked","45","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100915","Male","Sri Lankan","Not Tracked","24","<25","Not Disclosed","G9","Supervisory","Non-Leadership"
